question,answer,intent,context
Bagaimana penyelesaian silang sengketa antara nasabah dengan Bank atau Lembaga Syariah,"PENYELESAIAN PENGADUAN SENGKETA MELALUI MEDIASI PERBANKAN

 

Merujuk kepada:

Peraturan Anggota Dewan Gubernur No. 23/17/PADG/2021 tanggal 09 September 2021 tentang Tata Cara Pelaksanaan Perlindungan Konsumen Bank Indonesia.
Peraturan Otoritas Jasa Keuangan No. 18/POJK.27/2018 tanggal 10 September 2018 tentang Layanan Pengaduan Konsumen di Sektor Jasa Keuangan; dan
No. 61/POJK.07/2020 tanggal 14 Desember 2020 tentang Lembaga Alternatif Penyelesaian Sengketa Di Sektor Jasa Keuangan; dan
No. 31/POJK.07/2020 tentang Penyelenggaraan Layanan Konsumen dan Masyarakat Di Sektor Jasa Keuangan.
Bersama ini kami informasikan bahwa Bank Indonesia dan OJK menjalankan fungsi mediasi perbankan sebagai sarana yang sederhana, murah, dan cepat dalam hal penyelesaian pengaduan nasabah oleh Bank belum dapat memuaskan nasabah dan menimbulkan sengketa antara nasabah dengan bank.

 

Mediasi Melalui Bank Indonesia:

Nasabah telah menyampaikan pengaduan kepada Bank, namun tidak terdapat kesepakatan antara Nasabah dengan Bank.
Permasalahan yang diadukan merupakan masalah perdata yang tidak pernah diproses oleh pengadilan, badan/lembaga penyelesaian sengketa, atau otoritas yang berwenang lainnya.
Nasabah mengalami potensi kerugian finansial yang ditimbulkan oleh Bank dengan nilai tertentu yang ditentukan oleh Bank Indonesia.
Nilai potensi kerugian finansial ditetapkan paling banyak sebesar Rp 500.000.000,00 (lima ratus juta rupiah) yang ditimbulkan oleh Penyelenggara di bidang Sistem Pembayaran, Penyelenggara Kegiatan Layanan Uang, dan pihak lainnya yang diatur dan diawasi oleh Bank Indonesia.
Permintaan fasilitasi diajukan secara tertulis dengan mengisi Formulir Pengajuan Fasilitasi yang harus dilengkapi dengan dokumen pendukung sebagai berikut:

1)Salinan surat hasil penyelesaian pengaduan yang diberikan Bank kepada Nasabah.

2)Salinan bukti identitas Nasabah yang masih berlaku.

3)Surat pernyataan bermeterai cukup yang ditandatangani bahwa permasalahan yang diadukan merupakan masalah perdata yang tidak pernah diproses oleh pengadilan, badan/lembaga penyelesaian sengketa, atau otoritas yang berwenang lainnya.

4)Salinan dokumen pendukung yang terkait dengan permasalahan yang diajukan.

5)Salinan surat kuasa, dalam hal pengajuan penyelesaian Sengketa dikuasakan.

6)Dalam hal pengaduan disampaikan oleh pihak yang mewakili Nasabah, permintaan fasilitasi harus dilengkapi dengan Salinan bukti identitas pihak yang mewakili Nasabah dan surat kuasa dari Nasabah.

7)Surat kuasa Nasabah harus dalam bentuk surat kuasa khusus tanpa hak substitusi, bermeterai cukup, dan paling sedikit mencantumkan:

a)Identitas pihak pemberi kuasa dan penerima kuasa; dan

b)Kuasa yang diberikan mencakup kewenangan penerima kuasa untuk mengikuti fasilitasi, membuat kesepakatan dalam fasilitasi tersebut, dan menandatangani dokumen yang terkait dengan fasilitasi.

Penyampaian pengaduan kepada Bank Indonesia tidak melebihi 60 (enam puluh) hari kerja sejak tanggal penyampaian, hasil penyelesaian pengaduan secara tertulis dari Bank Muamalat kepada Nasabah.

Penyampaian pengaduan kepada Bank Indonesia dapat disampaikan melalui sarana berikut:

Datang langsung: Kantor Pusat Bank Indonesia (Visitor Center BI Bicara) atau Kantor Perwakilan Bank Indonesia Dalam Negeri.
Call Center BI Bicara: 1-500-131
Email : bicara@bi.go.id
Website: www.bi.go.id
 

Mediasi Melalui OJK:

1. Pengaduan Berindikasi Sengketa adalah ungkapan ketidakpuasan Nasabah yang disebabkan oleh adanya kerugian dan/atau potensi kerugian materiil, wajar dan secara langsung pada Konsumen karena Bank tidak memenuhi perjanjian dan/atau dokumen transaksi
keuangan yang telah disepakati.

2. Pengajuan penyelesaian pengaduan berindikasi sengketa yang dapat difasilitasi melalui OJK adalah:

Pengaduan yang diajukan bukan merupakan sengketa sedang dalam proses atau pernah diputus oleh Lembaga arbitrase atau peradilan, atau Lembaga alternatif penyelesaian sengketa.
Nasabah mengalami kerugian dan atau potensi kerugian materiil yang ditimbulkan oleh Bank paling banyak sebesar Rp 500.000.000,00 (Lima ratus juta Rupiah).
Pengaduan berindikasi sengketa yang diajukan bersifat keperdataan.
Pengaduan yang diajukan belum pernah difasilitasi oleh OJK.
Pengajuan penyelesaian pengaduan berindikasi sengketa tidak melebihi 60 (enam puluh) hari kerja sejak tanggal tanggapan Pengaduan yang disampaikan Bank kepada Nasabah.
Bank telah melakukan upaya penyelesaian pengaduan berindikasi sengketa namun Nasabah menolak penyelesaian tersebut
3. Permintaan fasilitasi diajukan secara tertulis dengan mengisi Formulir Pengajuan Fasilitasi yang harus dilengkapi dengan dokumen pendukung sebagai berikut :

Salinan surat hasil penyelesaian pengaduan yang disampaikan Bank kepada nasabah.
Salinan bukti identitas nasabah yang masih berlaku.
surat pernyataan yang ditandatangani diatas meterai yang cukup bahwa sengketa yang diajukan tidak sedang dalam proses atau telah mendapatkan keputusan dari lembaga arbitrase, peradilan atau lembaga alternatif penyelesaian sengketa dan belum pernah difasilitasi oleh Otoritas Jasa Keuangan/Bank Indonesia; (format surat pernyataan tersedia berdasarkan ketentuan yang berlaku).
Salinan dokumen pendukung yang terkait dengan pengaduan berindikasi sengketa yang diajukan; dan
Salinan surat kuasa dan identitas penerima kuasa, jika pengaduan dikuasakan.
4.Pengajuan penyelesaian pengaduan berindikasi sengketa kepada OJK dapat disampaikan melalui sarana berikut:

Call Center OJK: 1-500-655
Email : konsumen@ojk.go.id
Datang langsung :
Bidang Edukasi dan Perlindungan Konsumen

Direktorat Pembelaan Hukum Perlindungan Konsumen OJK

Gedung Radius Prawiro Lantai 2

Komplek Perkantoran Bank Indonesia

Jl. MH Thamrin No: 2

Jakarta Pusat 10350

Dengan tembusan yang disampaikan kepada Bank

 

Mediasi Melalui Lembaga Alternatif Penyelesaian Sengketa Perbankan Indonesia (LAPSPI):

1.LAPS Sektor Jasa Keuangan dapat menangani Sengketa dengan kriteria:

Pengaduan telah dilakukan upaya penyelesaian oleh Bank namun ditolak oleh Nasabah atau Nasabah belum menerima tanggapan pengaduan sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan mengenai layanan pengaduan nasabah di sektor jasa keuangan
Sengketa yang diajukan bukan merupakan Sengketa sedang dalam proses atau pernah diputus oleh lembaga peradilan, arbitrase, atau lembaga alternatif penyelesaian sengketa lainnya; dan
Sengketa bersifat keperdataan.
2.Penyelesaian sengketa melalui lembaga dimaksud harus didahului adanya perjanjian antara Nasabah dan Bank yang menyepakati bahwa apabila sengketa tidak dapat diselesaikan secara musyawarah, maka kedua belah pihak sepakat untuk menyelesaikan melalui LAPS di sektor jasa keuangan. Persetujuan para pihak yang bersengketa untuk menggunakan LAPS tersebut dapat dibuat sebelum maupun sesudah terjadi sengketa.

3.Penyampaian pengaduan kepada LAPSPI dapat disampaikan melalui sarana berikut:

Telepon: 021-5252533
Website LAPS: http://lapspi.org/
Datang langsung ke kantor LAPS:
Lembaga Alternatif Penyelesaian Sengketa Perbankan Indonesia (LAPSPI)
Griya Perbanas Lt.1

Jalan Perbanas, Karet Kuningan

Setiabudi, Jakarta

Dengan tembusan yang disampaikan kepada Bank",Bank Regulation,silang sengketa Lembaga Syariah
"jika tidak ada bunga, apa benefit diberikan Bank Syariah kepada konsumen?",bank syariah tidak mengenal konsep bunga-berbunga yang dianggap riba. Bank Syariah menerapkan sistem bagi hasil bagi nasabahnya yang seringkali disebut sebagai biaya sewa modal.,Bank Regulation,Bank Syariah
apakah bank syariah memberikan bunga imbal hasil?,"bank syariah tidak memberikan imbalan dengan bunga, tetapi lewat konsep bagi hasil. Pada bank syariah, besaran pemberian bagi hasil bersifat fluktuatif karena dipengaruhi oleh kondisi bank.",Bank Regulation,Bank Syariah
Apa keuntungan menggunakan bank syariah? ,"Keuntungan termasuk kepatuhan syariah, transparansi, dan tanggung jawab sosial1.",benefits,Keuntungan Bank Syariah
Apakah tabungan syariah memiliki manfaat lain yang berbeda dibandingkan dengan tabungan konvensional?,"tabungan syariah memiliki beberapa manfaat yang berbeda dibandingkan dengan tabungan konvensional. Berikut adalah beberapa perbedaan utama:

Prinsip Syariah: Tabungan syariah beroperasi berdasarkan prinsip-prinsip syariah Islam, yang berarti semua transaksi harus sesuai dengan hukum Islam. Ini termasuk larangan riba (bunga) dan investasi dalam bisnis yang dianggap haram1.
Sistem Bagi Hasil: Alih-alih bunga, tabungan syariah menggunakan sistem bagi hasil (nisbah). Keuntungan yang diperoleh dari pengelolaan dana nasabah dibagi antara bank dan nasabah sesuai dengan kesepakatan awal12.
Produk Khusus: Tabungan syariah sering kali menawarkan produk khusus yang tidak ditemukan dalam tabungan konvensional, seperti tabungan haji, wakaf, dan kurban3.
Bebas Biaya Administrasi: Beberapa jenis tabungan syariah, seperti yang menggunakan akad wadiah (titipan), menawarkan bebas biaya administrasi dan setoran awal yang lebih kecil3.
Pengawasan Ketat: Tabungan syariah diawasi oleh Dewan Syariah Nasional (DSN) di bawah Majelis Ulama Indonesia (MUI), memastikan semua operasional sesuai dengan prinsip syariah12.",benefits,Syariah dan konvensional
siapa sajakah yang dapat membuka tabungan syariah?,setiap orang bisa membuka tabungan syariah.,benefits,Membuka tabungan syariah
apakah di tabungan syariah mendapatkan bunga seperti tabungan konvensional lainnya?,"Perbankan syariah tidak menerapkan sistem bunga. Ketika  nasabah membuka rekening tabungan syariah, nasabah dapat memilih jenis akad atau basis pengelolaan simpanan yang diinginkan. Nasabah berhak atas imbal hasil (bagi hasil) apabila produk yang digunakan menggunakan basis akad mudharabah mutlaqah.",benefits,Tabungan konvensional lainnya
ada nomor Call Center / Whatsapp Center HIK Parahyangan?,"Ya, kamu bisa menghubungi kami di 0812-8080-4663 https://www.hikparahyangan.co.id/",Call Centre,BPRS HIK Parahyangan 
Bagaimana cara kerja asuransi syariah?,Asuransi syariah bekerja dengan prinsip saling membantu dan kerjasama - di mana peserta membayar premi untuk mendapatkan perlindungan.,Cara Kerja,Penjelasan tentang mekanisme asuransi syariah. 
Bagaimana cara kerja pembiayaan mikro syariah?,Pembiayaan mikro syariah bekerja dengan prinsip bagi hasil - di mana keuntungan dibagi antara bank dan nasabah.,Cara Kerja,Penjelasan tentang mekanisme pembiayaan mikro. 
Bagaimana cara kerja kartu kredit syariah? ,"Kartu kredit syariah tidak mengenakan bunga, melainkan biaya administrasi yang sesuai dengan prinsip syariah1.",Credit Card Syariah,Kartu kredit syariah
Apa itu istisna?,Istisna adalah kontrak untuk memproduksi barang yang akan dikirim di masa depan.,Definisi,Informasi tentang transaksi perdagangan syariah. 
Apa itu tawarruq?,Tawarruq adalah transaksi di mana bank membeli barang dan menjualnya kepada nasabah dengan markup.,Definisi,Informasi tentang produk pembiayaan Bank Syariah. 
Apa itu ijtihad?,Ijtihad adalah proses penalaran yang digunakan oleh ulama untuk menentukan hukum syariah dalam kasus-kasus yang tidak jelas.,Definisi,Penjelasan tentang ijtihad dalam konteks syariah. 
Apa itu maqasid syariah?,Maqasid syariah adalah tujuan-tujuan yang ingin dicapai oleh syariah : seperti keadilan - keseimbangan dan kemaslahatan.,Definisi,Penjelasan tentang maqasid syariah dalam konteks keuangan syariah. 
Apa itu wakaf?,Wakaf adalah harta yang diwakafkan untuk kepentingan sosial dan amal yang penting dalam Islam.,Definisi,Penjelasan tentang wakaf dalam konteks keuangan syariah. 
Apa itu haram?,Haram adalah praktik yang dilarang dalam Islam seperti: riba - judi dan praktik lainnya yang tidak sesuai syariah.,Definisi,Penjelasan tentang haram dalam konteks keuangan syariah. 
Apa itu syariah board?,Syariah board adalah badan yang terdiri dari ulama yang bertugas menentukan kesesuaian produk dan operasional Bank Syariah dengan syariah.,Definisi,Informasi tentang peran syariah board dalam Bank Syariah. 
Apa itu fatwa?,Fatwa adalah keputusan hukum syariah yang dikeluarkan oleh ulama untuk menentukan kesesuaian produk dan operasional Bank Syariah dengan syariah.,Definisi,Penjelasan tentang fatwa dalam konteks syariah.
Bagaimana cara kerja deposito syariah,"Deposito syariah menggunakan sistem bagi hasil, di mana nasabah menerima keuntungan berdasarkan hasil investasi bank1.",Deposit Syariah,Kerja deposito syariah
"Apakah ada perbedaan antara bank yang merupakan bank digital dengan bank eksisting yang menghadirkan layanan perbankan digital? Dan apakah ada
perbedaan antara bank digital konvensional dengan bank digital syariah?","Secara kelembagaan tidak terdapat perbedaan antara bank digital dengan bank 
eksisting. Perbedaannya lebih kepada strategi dalam pemilihan model bisnis serta 
infrastruktur pendukungnya. Pada prinsipnya Bank Digital adalah bank yang 
menyediakan dan menjalankan kegiatan usaha yang utamanya melalui saluran 
elektronik dengan kantor fisik yang terbatas atau tanpa kantor fisik selain kantor 
pusat. Bank yang memilih model bisnis fully digital bank tetap diwajibkan memiliki
minimal 1 (satu) kantor fisik berupa Kantor Pusat dan memenuhi persyaratan
operasional sebagai Bank Digital. OJK tidak mengeluarkan izin atau label khusus 
terhadap bank digital namun bank yang memiliki model bisnis bank digital wajib 
berpedoman kepada ketentuan ini dan peraturan perundang-undangan terkait 
bank digital.
Secara umum pendirian bank syariah digital baru dan transformasi model bisnis
bank syariah menjadi bank digital tidak menimbulkan risiko Syariah baru 
mengingat operasional bank tetap merupakan operasional bank syariah yang
berdasarkan prinsip-prinsip syariah. Sesuai dengan peraturan perundangundangan mengenai perbankan syariah, operasional bank digital syariah tetap 
harus melalui persetujuan dan berada di bawah pengawasan Dewan Pengawas 
Syariah (DPS) untuk menjamin seluruh kegiatan dan transaksi bank digital syariah 
tetap patuh terhadap prinsip-prinsip syariah",Digital Banking,Bank Digital Syariah
Bagaimana Bank Syariah mendukung pengembangan ekonomi?,Bank Syariah mendukung pengembangan ekonomi dengan memberikan pembiayaan dan pelatihan untuk UMKM dan proyek-proyek sosial.,Dukungan,Informasi tentang peran Bank Syariah dalam pengembangan ekonomi. 
Bagaimana Bank Syariah mendukung pengembangan masyarakat?,Bank Syariah mendukung pengembangan masyarakat dengan memberikan pembiayaan dan pelatihan untuk proyek-proyek sosial dan UMKM.,Dukungan,Informasi tentang peran Bank Syariah dalam pengembangan masyarakat. 
Bagaimana cara kerja pembiayaan ekspor-impor syariah,"Pembiayaan ekspor-impor syariah menggunakan akad Murabaha atau Salam, di mana bank menyediakan dana untuk pembelian barang dan nasabah mengembalikannya dengan margin keuntungan atau barang diserahkan kemudian1.",Financing,Ekspor Impor Syariah
Bagaimana cara kerja pembiayaan haji dan umrah syariah,"Pembiayaan haji dan umrah syariah menggunakan akad Qard atau Murabaha, di mana bank menyediakan dana untuk biaya haji dan umrah dan nasabah mengembalikannya tanpa bunga atau dengan margin keuntungan1.",Financing,Pembiayaan Haji Umrah Syariah
Bagaimana cara kerja pembiayaan investasi syariah,"Pembiayaan investasi syariah menggunakan akad Mudharabah atau Musyarakah, di mana bank menyediakan modal dan nasabah mengelola investasi dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Investasi Syariah
Bagaimana cara kerja pembiayaan kendaraan syariah,"Pembiayaan kendaraan syariah biasanya menggunakan akad Murabaha atau Ijarah, di mana bank membeli kendaraan dan menjualnya kepada nasabah dengan margin keuntungan atau menyewakannya1.",Financing,pembiayaan kendaraan syariah
Bagaimana cara kerja pembiayaan kesehatan syariah,"Pembiayaan kesehatan syariah menggunakan akad Qard atau Murabaha, di mana bank memberikan dana untuk biaya kesehatan dan nasabah mengembalikannya tanpa bunga atau dengan margin keuntungan1.",Financing,pembiayaan kesehatan syariah
Bagaimana cara kerja pembiayaan konsumen syariah,"Pembiayaan konsumen syariah menggunakan akad Murabaha atau Ijarah, di mana bank menyediakan dana untuk pembelian barang konsumsi dan nasabah mengembalikannya dengan margin keuntungan atau biaya sewa1.",Financing,pembiayaan konsumen syariah
Bagaimana cara kerja pembiayaan leasing syariah,"Pembiayaan leasing syariah menggunakan akad Ijarah, di mana bank menyewakan aset kepada nasabah dengan biaya sewa yang disepakati1.",Financing,Pembiayaan leasing syariah
Bagaimana cara kerja pembiayaan modal kerja syariah,"Pembiayaan modal kerja syariah menggunakan akad Mudharabah atau Musyarakah, di mana bank menyediakan modal dan nasabah mengelola usaha dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Pembiayaan modal kerja syariah
Bagaimana cara kerja pembiayaan modal ventura syariah,"Pembiayaan modal ventura syariah menggunakan akad Mudharabah atau Musyarakah, di mana bank menyediakan modal dan nasabah mengelola usaha dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Pembiayaan modal ventura syariah
Bagaimana cara kerja pembiayaan multiguna syariah,"Pembiayaan multiguna syariah menggunakan akad Murabaha atau Ijarah, di mana bank menyediakan dana untuk berbagai keperluan dan nasabah mengembalikannya dengan margin keuntungan atau biaya sewa1.",Financing,Pembiayaan multiguna syariah
Bagaimana cara kerja pembiayaan pendidikan syariah,"Pembiayaan pendidikan syariah menggunakan akad Qard atau Murabaha, di mana bank memberikan dana untuk biaya pendidikan dan nasabah mengembalikannya tanpa bunga atau dengan margin keuntungan1.",Financing,Pembiayaan pendidikan syariah
Bagaimana cara kerja pembiayaan perdagangan syariah,"Pembiayaan perdagangan syariah menggunakan akad Murabaha atau Salam, di mana bank menyediakan dana untuk pembelian barang dan nasabah mengembalikannya dengan margin keuntungan atau barang diserahkan kemudian1.",Financing,Pembiayaan perdagangan syariah
Bagaimana cara kerja pembiayaan properti syariah,"Pembiayaan properti syariah menggunakan akad Murabaha atau Ijarah Muntahiyah Bittamlik, di mana bank membeli properti dan menjualnya kepada nasabah dengan margin keuntungan atau menyewakannya1.",Financing,Pembiayaan properti syariah
Bagaimana cara kerja pembiayaan proyek syariah,"Pembiayaan proyek syariah menggunakan akad Istisna’ atau Musyarakah, di mana bank menyediakan dana untuk proyek dan nasabah mengelola proyek dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Pembiayaan proyek syariah
Bagaimana cara kerja pembiayaan renovasi rumah syariah,"Pembiayaan renovasi rumah syariah menggunakan akad Murabaha atau Ijarah, di mana bank menyediakan dana untuk renovasi dan nasabah mengembalikannya dengan margin keuntungan atau biaya sewa1.",Financing,Pembiayaan renovasi rumah syariah
Bagaimana cara kerja pembiayaan rumah syariah,Pembiayaan rumah syariah biasanya menggunakan akad Murabaha atau Ijarah Muntahiyah Bittamlik (sewa beli)1.,Financing,Pembiayaan rumah syariah
Bagaimana cara kerja pembiayaan sindikasi syariah,"Pembiayaan sindikasi syariah menggunakan akad Musyarakah, di mana beberapa bank menyediakan dana untuk proyek besar dan nasabah mengelola proyek dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Pembiayaan sindikasi syariah
Bagaimana cara kerja pembiayaan usaha mikro syariah,"Pembiayaan usaha mikro syariah menggunakan akad Mudharabah atau Musyarakah, di mana bank menyediakan modal dan nasabah mengelola usaha dengan pembagian keuntungan sesuai kesepakatan1.",Financing,Pembiayaan usaha mikro syariah
Assalamualaikum Wr Wb,Waalaikumsalam Wr Wb,Greeting,Initial greeting and establishing a conversation
Salam,"Waalaikumsalam Wr Wb , ada yang bisa kami bantu?",Greeting,Initial greeting and establishing a conversation
Jazakallah Khairan,"Wa Jazakallahu Khairan, jika ada yang lainnya bisa kembali menghubungi kami",Greeting,Initial end greeting
Terima Kasih,"Terima Kasih Kembali, jika ada yang lainnya bisa kembali menghubungi kami",Greeting,Initial end greeting
Hey,"Waalaikumsalam Wr Wb , ada yang bisa kami bantu?",Greeting,Initial greeting and establishing a conversation
"Bye, terima kasih banyak","Wa Jazakallahu Khairan, jika ada yang lainnya bisa kembali menghubungi kami ya",Greeting,Initial end greeting
Goodbye,"Wa Jazakallahu Khairan, jika ada yang lainnya bisa kembali menghubungi kami ya",Greeting,Initial end greeting
Thanks,"Wa Jazakallahu Khairan, jika ada yang lainnya bisa kembali menghubungi kami",Greeting,Initial end greeting
"hai, bot..apa kabar?","Waalaikumsalam Wr Wb , ada yang bisa kami bantu?",Greeting,Initial greeting and establishing a conversation
"oiya, Assalamualaikum chatBot syariah","Waalaikumsalam Wr Wb , ada yang bisa kami bantu?",Greeting,Initial greeting and establishing a conversation
"Siap, terimakasih","Hanupis, senang membantu anda",Greeting,Initial end greeting
Apa saja hak-hak jemaah setelah melakukan pendaftaran ibadah haji?,"Setelah melakukan pendaftaran dan membayarkan setoran awal, jemaah haji berhak mendapatkan nomor porsi dan masuk dalam waiting list keberangkatan.",Haji,Hak-hak jemaah Nasabah Haji
Apa sajakah yang didapatkan ketika melunasi BPIH?,"Sesuai dengan ketentuan Kemenag, calon jemaah yang melakukan pelunasan BPIH berhak mendapatkan perlengkapan berikut ini dari Bank:

Mukena, bagi jemaah haji perempuan
Kain ihram, bagi jemaah haji laki-laki
Bahan batik haji dan buku panduan manasik haji, bagi jemaah haji perempuan dan laki-laki
Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Hak setelah lunas BPIH
Apa yang dimaksud dengan jemaah haji yang berhak melunasi BPIH? ,Jemaah haji yang berhak melunasi BPIH adalah calon jemaah yang nomor porsinya masuk dalam alokasi propinsi sebagai daftar yang berhak berangkat haji pada tahun penyelenggaraan ibadah haji.,Haji,Jamaah yang berhak melunasi BPIH
Apa yang dimaksud dengan kuota ibadah haji?,Kuota haji adalah jumlah jemaah yang dapat dilayani dalam setiap kali penyelenggaraan haji.,Haji,Kuota Ibadah Haji
Apa yang dimaksud dengan nomor porsi ibadah haji?,Nomor porsi adalah nomor urut pendaftaran yang didapatkan jemaah setelah mendaftar sebagai jemaah ibadah haji di Kantor Kemenag Kab/Kota setempat.,Haji,Nomor Porsi Ibadah Haji
Apakah ada batas pelunasan bagi nasabah?,Biasanya 5 bulan sebelum keberangkatan akan diinformasikan bahwa nasabah akan berangkat. Kemenag akan membagi beberapa kelompok/grup. Pelunasan harus dilakukan 1 bulan sebelum keberangkatan.,Haji,Batas waktu pelunasan ibadah haji
Apakah setoran awal Tabungan Haji harus dilakukan dihari yang sama dengan pembukaan rekening? Dan apakah setoran selanjutnya bisa diangsur tiap bulan?,"Setoran awal harus dibayarkan saat itu juga dihari yang sama dengan pembukaan rekening. Rekening tersebut tidak bisa untuk transaksi, hanya bisa digunakan untuk setoran awal dan saat pelunasan, sehingga tidak bisa untuk dilakukan angsuran tiap bulan.",Haji,Setoran Tabungan Haji
Apakah yang dimaksud Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji? ,Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji atau sering disebut BPS-BPIH adalah Bank yang ditunjuk Badan Pengelola Keuangan Haji (BPKH) untuk menerima setoran awal dan pelunasan BPIH dan menyetorkan pembayaran BPIH tersebut kepada BPKH.,Haji,Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji
Apakah yang dimaksud dengan SPPH?,"SPPH adalah Surat Pendaftaran Pergi Haji, surat ini didapatkan ketika calon jemaah telah mendaftar sebagai jemaah ibadah haji di Kantor Kemenag Kab/Kota setempat. Di dalam SPPH tersebut akan tercantum nomor porsi.",Haji,SPPH
Apakah yang dimaksud SISKOHAT?,"SISKOHAT atau Sistem Komputerisasi Haji Terpadu adalah sistem teknologi informasi dan komunikasi yang menjadi media untuk pencatatan baik pendaftaran, pelunasan, pembatalan dan segala hal yang terkait dengan penyelenggaraan ibadah haji termasuk aspek keuangannya. SISKOHAT terintegrasi dengan penerbangan haji, perbankan dalam hal mutasi keuangan dan dengan seluruh bidang haji provinsi, kabupaten dan kota.",Haji,Yang dimaksud SISKOHAT
Bagaimana tata cara pelunasan BPIH?,"Jemaah yang berhak melunasi datang ke BPS BPIH tempat melakukan setoran awal dengan membawa tanda bukti setoran awal dan pasfoto ukuran 3×4 sebanyak 5 lembar.
Petugas BPS BPIH melakukan penyetoran melalui SISKOHAT.
Petugas BPS BPIH memberikan Tanda Bukti Setoran Pelunasan kepada Nasabah.
Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Cara pelunasan BPIH
Bagaimana tata cara pembatalan dan pengembalian BPIH?,"Pembatalan pendaftaran jemaah haji dilakukan oleh jemaah haji di Kantor Kemenag Kab/ Kota dengan membawa persyaratan:
Surat permohonan pembatalan bermaterai Rp. 6,000;

Bukti asli setoran awal BPIH;
Asli Aplikasi transfer setoran awal BPIH;
Fotokopi buku tabungan yang masih aktif;
Fotokopi KTP dan memperlihatkan aslinya;
Mencantumkan nomor telepon yang bisa dihubungi;
Berdasarkan pengajuan pembatalan, Kemenag akan mengeluarkan Surat Pembatalan.
Setelah Bank menerima Surat Pembatalan, Bank melakukan koordinasi dengan Kemenag untuk tindak lanjut proses pembatalan yang akan diteruskan ke BPKH, lalu Bank menerima informasi dari BPKH untuk pengambilan Surat Instruksi Pendebetan Rekening.
Bank melakukan pendebetan rekening sesuai Surat Instruksi Pendebetan Rekening, lalu melakukan proses pemindahbukuan transaksi dari rekening BPKH ke rekening tabungan jemaah haji yang bersangkutan.
Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Pengembalian BPIH
Berapa lama proses pengembalian setoran awal?,"Proses pengembalian setoran awal akan melibatkan pihak Kemenag, BPKH dan Bank. Calon jemaah akan mendapatkan pemberitahuan lebih lanjut mengenai proses pengembalian setoran awal.",Haji,proses pengembalian setoran awal Tabungan Haji
Berapa lama waktu tunggu sejak mendaftar hingga keberangkatan?,"Waktu tunggu keberangkatan bervariasi tergantung propinsi. Variasi ini bisa terjadi karena jumlah pendaftar yang telah masuk dalam waiting list serta pendaftar baru di masing-masing propinsi juga berbeda-beda. Untuk mengetahui jadwal keberangkatan, calon jemaah diminta aktif memperhatikan informasi melalui aplikasi Haji Pintar karena daftar tunggu dapat berubah sewaktu-waktu akibat dari adanya kemungkinan pembatalan calon jemaah.",Haji,Mendaftar hingga keberangkatan
Berapa pelunasan BPIH?,"Setiap tahunnya, Pemerintah akan mengeluarkan keputusan tentang BPIH per embarkasi di tahun tersebut. Besar pelunasan adalah selisih setoran awal dengan BPIH yang telah ditetapkan per embarkasi. Sebagai informasi, BPIH tahun 2018 berada pada range Rp31 jutaan s/d Rp39 jutaan (Sumber: Keppres No 7 Tahun 2018 Tentang Biaya Penyelenggaraan Ibadah Haji Tahun 2018)",Haji,Berapa pelunasan BPIH
Berapa setoran awal BPIH?,"Setoran awal BPIH adalah sebesar Rp 25 juta. Hal ini sesuai dengan Peraturan Menteri Agama No. 6 Tahun 2010 tentang Prosedur dan Persyaratan Pendaftaran Haji. Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Setoran awal BPIH
Dimanakah calon jemaah dapat melakukan pendaftaran ibadah haji?,"Untuk menunaikan ibadah haji, setiap calon jemaah diharuskan mendaftarkan diri ke Kantor Kementerian Agama (Kemenag) Kabupaten/Kota sesuai alamat pada kartu identitas (KTP).",Haji,Tempat pendaftaran haji
